"orig_address","orig_lat","orig_lng","dest_address","dest_lat","dest_lng","time_text","time_value","distance_text","distance_value","polyline"
"Onoway, AB T0E, Canada",53.7017507,-114.1982174,"Sainte-Jeanne-d'Arc, QC G0W, Canada",48.8651447,-72.0808681,"1 day 15 hours",140295,"3,706 km",3706483,"}rwfIzi_xT~qXxtCs@stWgFo{pArLm{iBgAyndAtoHs|{BjxG__QuWokU`aLunh@rmQcl{@uuCgc~CtwK}bzA`A}i_@liKq}[njQ}kf@`rHqbjAbma@sckCdcT}dW~aCgvMhsk@axiCrna@adjB|~Jsud@rlRc_]jdG}rGtnLwvHzxC_fV|dI{iMfuAmzd@bp@oc_@ddC}|w@z`N{~|ArjI{kv@ltGqam@jpGatn@kyAm|e@juDynyApfRqp|@~jJw{aAxpc@eh`A`|j@ibzApkq@eipAz|Ywd_BPohd@peSqpCrfSg|LtvQmc_Bprh@u{bDvwD{__A?c_tAfsEcuv@~iSeu{@~_UewMxGwyMrhD}kLenD{rM`aHiwbAltKgw~Ap`CmjJpqLcp@z\}qOqvHojd@|n@g~WroV_kx@xgDgxx@~pAkixAz_BenaAwwSivlAltC_ubAuhL}gi@iiBcy`@~hLiyNkfMorw@giE_hm@roBeno@usBczMbTyyZ|aCsbiAlQemPzdDefL`uGat]|oHu`QdkRwsXvnVmayAv_Fish@jfUq`~@h`TyzcBltKapL~vOklYhgBigh@lmPqdc@j`Jymq@jeRuyWjig@uNrmC}lQt_Ku_~@tgK_yk@}mIcfe@asK{`i@cgUsnf@cqVo}Qa{M{eKygAmhJqgIafIqvMmxJqpCsnIemQw_As{[{gYoxQzxB{`JiYuxKm{KmhXcm_@otIuvfA_u@a}t@znAu}|@oaR}imAsbAku}A|zDe~gC~SsnnAlqC}}gCzaDmvuAxxO_p~Ah|_@o{nCzjTimmAzqGeib@rpJoatAdgIwqYryHkyCboMqiR`b@{yh@rhAkiGtqVy_IhhUk{]plLm_F~jIe~@xr\qvj@uXsvVc\e}v@rhDwgoA{RocmAla@evLgrDshHsqDg~ZqtFy{OodHqHRafOcGqsi@zTojFzwAa`TljDmjq@zbJ_u^zpAqpZqyBos`AyhQgAsyA}jKuX_mMmtIwaAm_L}uHc{H}_QyrOciB__@ymi@gkE}iIacLqfHceHlv@uzKcgTazR_zBgyNalJidEwmZglH}fs@s|Simr@kdIcnX_wJocDsaYm_Zk{JsyJz\mtl@lVmen@p{FkoxAs~@}iq@a|Cmja@p`IwiAdzb@gc`@dmTeaP`vWm|e@`tM_ye@dpLm{OxhHcfRhnNc~\fqFmvPzzT}a_@|dH}up@t_Qyjf@dyEg{E{RidT}vH|vBs_JqiT_oF{`NruAio\`zDuvNwiAcwR"
"Halkirk, AB T0C, Canada",52.2830849,-112.1539573,"Crawford Bay, BC V0B, Canada",49.6812105,-116.8246874,"8 hours 58 mins",32275,"821 km",820514,"gpb~HfapkT|j@ie@bjD@zlC?tmf@WtgGGfv@?|Xbk@Gp{AIvnSAvmq@?|_VjUhkLdeBs@veBUnn@`Of~E^zgQAhfP?n}HEnl@~QF|~Db@vnRyCfgDq\dkAxn@f~Aof@lmEnWp_^F|qRFxiEliA~j@pwABzf@`PfgEzJ~_Eqd@|lG?xi@jbAZt}MPhaDYre[@fbCzw@rNtbTt@bl@fm@b~BvjDpoAtjC|hBvoAvrIbFzVr`AbAxtBvx@tcAluBfYxe@`iC|`ClnB|d@pMjjFCriBp`@Ar~L?`~BEpbKg@pnOh`DoH`bMyChjVeAdvDuq@f^duHzVthA~jB_k@xmBuMjjBrv@nsCljAdfAcKbvKsbNtdDyqC||D_C`cCcyBjiA_|CfkEiAtgCel@v`PiGjxCCda@lzEGjjWx@tuV|FxYf_@`Uz`AvjCllEdnB|bAvzH|QvnCfiACzx@oMlgE~EhmB{h@hjCzn@tyDsd@fsCajBhsL_|CxkOqa@ptEam@frGwp@pp@edAhzI{aCbmAgh@boAlaCjiB~SdjA}m@jyAxf@||CqbAnpIbc@liFriBr`HrEhgCjgCfdWzRrrBpsF~gBhkHnn@ftHgMdlEuyCfnCyiDr_LutCnfJhGlgFtStgLpW|qFyDzgGshCn_Bg^ffEmtAbhF}_EbsIsyDnhEqClaDtaBbw@t~DaWvdBnZnz@~mAxuHzdGhsCx~C~xIdzKh~@~eCfhA`Sh`BffBtdDgj@doIa|EzfAeuAbeC}m@piA_Vd~CeCxmBrsA`bAnvC|g@f~H``AxoAjc@`rDubIvtH{wDjmEoAhoAy`@jpEyCz_FyeB|cEkPbbCu`GjgMuvDd~FmWjiEytA`qG}tG|eMosGnoI|s@`eAr~AlzErxAj~ApiEdlHlgCpgCnrCt}F|yBb`DthBmn@~~@oyAvq@u]xTtj@hiAcBnrBceE|bCw@|pCbb@xoFhX|iDrxA`Hpr@tyAb`@tyAzgFh_EpbS`_BjqAboAmk@h~Gd|Dx_Gj~Iha@fvDih@~|CkpFvsE_zCtbIamAthCkK`uFl_AlpKf}@vwE~jBx|HwqAdlAeTtf@_xAhw@eCvrB`HhgAiN|wCqKrz@ce@fQwdAL{RraA_t@hbCquBnpBy_BjqAyvDdsCm~ApcCqzCra@obCloCwoDjxF}~AzjA_|DpPkhDbfBaq@`h@kg@|BkoDv|@iwGfjB{tB_Ga}AfRaaEzeAadEh@ayCwh@{oA_Kar@pr@o_Bpz@i~@re@uQppA{v@nB"
"Trochu, AB T0M, Canada",51.8238185,-113.2327451,"Slocan, BC V0G, Canada",49.7630058,-117.4699201,"8 hours 26 mins",30384,"725 km",724794,"{yh{HtwbrTr`@tn@biCpClJblOEpds@Exwh@FbgZp@b~N~xBqJbiV?xpd@}C`cDg`CtqEeL|zOBhzNeAbhIh@xc@`i@bVvpIeEhuDpn@~vAfpAtwB~JzzGrg@ljE|iBrhDpxCoStyA`i@jAbc]dGvtVoc@rvFhMpyCo~Ilg^m}A~{Dl]r}D`dCfiVnkDfrQh~BnxGlhA~c@b{@zjD}K|sEpxA|mCzU`uG|FfyDz{@ffEiJh`EugBpgFmxGrbG_rEvnHmjDbcFcd@fgCgqBtkC}zAjzDe^rjBtiA~pAneBhuJpcAhkHdjAlyDeu@raFoaB`cCivE|`HmgApkF_xBfaIefAjnDysEdbQi|IbcNouCzwDafDrqGcuCxzBmgBx{Cu\h_Gex@|zBoKjqB`|@~}Ifx@huDzbArfJb}@pkE~lBhvFp}AzpAh~ApaBjlFpwE|x@r|BbeEhk@t|B|}AznBgeA`qA_d@lyAcn@~d@df@k_@puEuzCduIoeDh{Qik@l{BpHxlDurBvpHyg@ntD|d@jzB_SlcF~H~tAga@hVkhChuBeoEdqDc|Dt_B{fFrwEa_B~fDykEbyIa|@rkD_K`~C}o@b`D~q@hWlhA}m@e@ddAmlBpsKz}@rkG~`@piC_lDjoJsb@piCds@~~Ah`DxuCj~FiUbhCa_@rpB}mAbfA}gA~sAeA|aD_uAjeBj{AxZncBja@|gDru@fuCbt@fXf~D_cBdjA|kFfG|{Fl}@zuErg@ptDhgA|oCjtB|wFjdA|cFpkA`\`vBlpElcB|{GxtA`rD|L`mCrs@xM~~BvvBbzEjvCzsBhw@pkDtxThuBnfKl_Ab_CfQroDia@tsDyy@txBnb@plBn{@dn@bwA{]~kBxBlhAwGnoAonAz|B_z@fuAm|CvpCatChcAwoB~hC}mCv|BolDv_Ce`CdfHyhDl}BmhAb_AolApaFybEbkFeeGdiBixAxSjKz{@oqKp`@~Ch}AhVtdAlq@n|BvKfnE|bChyCaSfxEhnAjcDuOzv@sh@hHgnAn|Adq@jpB}At|D}{@zoDrPlfFqcDjqAaiAtuAkcChkBcp@rhBaVnw@ijCfn@au@lMmnEdmC}lFfhAylCzbCyvAroByfAnvAyeFxQwoJdlDcjLvoCgeFzoDsaD|uBi{@veA}cA|o@caC`bBgbB~b@a]h_Aya@vwHowAluBpkB`uAxWb`A`i@xy@ok@|yAzuBlcBrn@~JhEqP~h@`oAjcA|sCbcBzm@niBd}@lv@d`DhHfmBcx@`M~fA"
"Calling Lake, AB T0G, Canada",55.2104515,-113.1930038,"Yarker, ON K0H, Canada",44.3715924,-76.7702688,"1 day 12 hours",130336,"3,856 km",3855556,"ih~oIf_{qTndNvsGhnH~fLv|b@da@nt`@eoFxq@q}BzqHupGzgIueCvKkmGlqDmvB|^qh`@vmc@cYp}EocA`sE^@g}YfhPIzcJH`aRChqB{jCblEmDveu@@|}Lygd@vo^kowAtvGkpQ_Us_UdaLyhh@plQsm{@kg@esx@_oB}pfBr~A{zt@~wHeub@pAgy^ntK}d\|bQalf@~wIeonAvd`@wqfCreTacWb~BctMptk@g|iCpla@umjBv_Kyfd@nqR_g]l_G}sGtxD{nH~{Xm_Gzoi@anPj}XwrFniJefK~`Qg_WxuVuqTvwRypZfpSgiNfjj@mij@|lPoaWd`Rgwn@jiR}{w@`pAayn@hd^gqd@jiQqzXbdjCc~wGv_m@_uF`gn@eA|gJglL|tF_uUh}LmnQdhGyj`@|bDxRl{LstHR{tl@|}OooFhTgrY`|Pm`@hkS_aQxkIqxDxtXqnx@lsY_ad@|mPs{o@bmSizZtcNmys@vtRqd|Aha_@u}mAbbQyxu@rf]sgCr}DI|yAuoKb@_c]{@mg_@zDsnRd{d@qb_@dtv@k|k@vlKhI|qDw{Eul@s}jAkrC_nbAsRg}m@~pGoc[mCyjnAzkDculAtJm~XtxIocQttPscT|wX{sYr{Uk_Npfe@g__@h|[qnc@rsOieQrpFqiW`bT_cg@ncRuzoAzdUauy@hlKwaw@xhC}{TdiNyjQtxJ{t\xxLqlXfbZyecAxoWox`@v}Eez^zeF{g_AncNa~@~g@k}R{fAkgx@dlGgf}AjrDepbApxV}zz@jz]}re@jpb@{y_@~oh@}bjAboKwzW|qSgdFtlT{lj@fhUkbh@tzS_yd@taRg~NhcHkkEpbC{~V|sGkjYfoKckDhyj@cvWp`X}}MfsKmwE|vDaiTb`[s`TvgYgoH`te@ms@lr]mhA|}U_dGbr`@cwvBtkCeru@lsS_|F~aGulL~}Y_gCbw_@aoi@bmDap`Aw~Pkt{AelWgv\wpXo`[orYocPgfWcub@khGm~xAe~HmzjA~Dyeu@umD_|b@qpO_aD}}NwnJwmW_eS{pMqeWk{OwzAoxJu{NjdAkiY{kCcrb@{uYq}y@uiI{rw@cvAynfAtgH{~{Aqj@y_u@ag@{zq@wGiehAr~EsqkA|rJkmYsg@wfXisIs~e@}}Fm~_@{zTuw^ykVgeY_}U}vb@ufKs`JkjD{qXgzIsco@_qd@mioAwpT{rgA}qLuel@yfCcvr@}xUmcvBsuEypm@_|Qunu@u~Oyww@qkHoxeAoyRgb]"
"Wildwood, AB T0E, Canada",53.6098413,-115.235512,"Blezard Valley, ON P0M, Canada",46.608626,-81.0524354,"1 day 7 hours",113275,"3,037 km",3036947,"otefI||i~T~}Ceq~AnrAc|cCi`Aao{B|dAaryCtmDqnpAhwAwyKdkG_tIjzDycl@x~Iksc@~iEmd`@foJojXipDqa|@e~@siiBjpFa}v@jwDgwa@h~Aof\`|KokX`hQmhj@`l@{pv@zdGav[hfNir`AfsPww_AvyVunSdZygMxq[m|nAhrTqgiAvqRs`q@hfG_eo@tfa@_c|@vvDccFh_FiwE|lc@sfL~rh@qdL~bUieK|{IuyL~hNgbPjfUudWz_Qac[ftMmeEtyFkcGn`Wy}ThjRyqW|_QgxWtaUoh{@tuJqoXlYifb@tr@agQ~fGg_Lx{SukZ`lCykElwF}bDrmJkiUtldAcsmC|ya@szdA`yPqhb@puMwu[xiAuhRh@}ng@zdCcgq@xcF}fz@dk@q``@z_Dqly@|sHedAt_N}nGp`LwJ|xXsAlmM}ED}qGXgc\OmuVcZguKpf@_ng@bd[ea@|bEsqCf_Tko@ftKLvi@ycPZ{uXhkAceP`uOfIdwMvElhC~cC~aHqkAvu^cji@zvKodPvRcbEuf@u}iAtbAs~b@ddEokl@n_LsitApfe@wjlAngEankC|wAwzKjrBsx`@|}EgcW~cBor[h@q_{AkJkmMzdVku`@vmAquO~n@uaP|jBeU~dBw~@r^kvIgOsav@`bJavYzpJ}ph@r_Pgni@bkDgmY|Eygf@dwAgr{@f]}kShbIgvIvbKmp_@nvEydkAjnCall@{Hggz@jqUqa`A`gR_ak@fd[ulp@bzTec\drBmus@juBe~b@|uQq`k@_tDimIvhGyhIfdViea@ziHepcAz]kqp@|xBcng@}yIe|WgjC__WjcBo{a@j`NkcXfhIep`AksBo{`@xJwaOs{KyyUq`G{zi@xfB{yWtjFc{r@psC_vPbzE{~JwdAmh]mvEyin@crJkx_@~e@}|^l_Fsag@d_Dum]zpCalc@}cCcdXnnBmlZriEmkSlz@q|RlzNczLlcCsrS_l@qeXrmCakXuD}fSyyHgxNnoAk|YpsCife@hCwaoAx~@kwNgVuwTrlDemOfHiqY`_@w{y@edG_fz@sqDieh@yRkrx@ikZwoJjNmcLagG_~QhoEkuSzaCg|F~qD|kAxmFhpAz`QaC~l@gdQo^o`KzsC{`HjlBuwSbyAsfK|gBqab@_sCo~_@hxFypa@heK{qd@uuAkenB}K_~b@ehGkyy@o}D_tPigA_gX}aGkxXrGwpMsjK{{`@ehAgeSm{@c|F{`D|s@w{Nve@ehGwkAieDgcE_aBcnR"
"Hines Creek, AB T0H, Canada",56.24739,-118.6015103,"Cottam, Kingsville, ON N0R, Canada",42.1307467,-82.7448302,"1 day 11 hours",125579,"3,686 km",3686061,"eyhvIlj{rUftNa_S~d]tAd`NnbI`{BxyLbwZziLbfCczVn_B}~Fdf@adE@otSf_JuIb_ZjQ`jM{Rv_l@ibDj}@ekU`s@kxw@zkYifaA`dAiq~@tbXg`Alxa@adGj_Oq{Yr{q@uzh@tbSmlcAjfDewdA|vM}i\ptFkru@j_NgwYf{Iigz@veYmex@hfEmla@nzUs`rAdbFkuUpsBy~MrdUrBx_C}hNg@u~c@cmAcwhApm@cne@xT{~rE`|FkhYdeHqq_@flQiipA~oJe{[dw@_aVkhBsjvAid@c_}AxuK{oi@j@k~`@pxXe|}@jmHk|kA|lNghw@v|OeglAt}GytXjtMq{Jb{I_xNjyJard@tlm@ozoCdgQ}mr@hQyoXroU_qi@fgOu{RlfBcmJz~w@{hSndo@yrRxxRelZdtf@_oj@btl@}hg@n}d@ebk@jbh@cibBjnAojt@jcSqj[r}O_uVvv\_cs@fedAmnkCnrc@ifhAbxOcy_@`|LwkA~jYwl@dwz@{sC`wGcc_@boLw~NvdJq{d@bcD}^rtLDhl@cvGNi~RlKsw]pcO{SbNauV`qIqxDtnY_}PdxHefAlvJetR`kUk{r@nxTslb@~sVuko@vcQqfh@tkQ_|dAnpWmtwAvb\sbmAfmJ{kYhzW|Jdx@mRnrCQxgC}cKZcq\_@grQ\qmWq@iyFjyDqvGf`z@e~l@xhQevMj_SwwIboFaM}EqnQ_yA_d}AsqAeenAhjGmiZbGalk@wIettAp|Diot@rv`@sdt@t_~@_aq@hlNqgGfcOqzVliY_lYvzi@mh_BjyD}bp@nrPyx_@vqMg_{@psGk`p@n_NqnPnuCkuXxyL{kMtzLay^xya@idlAb`P_eShvCefg@vvDcrXwEo{OhuGg{FxkGg`FgwAyq`@pzB_nu@bpCghyAjhIux}@neO_s[zoDad\rq`@ogc@fpd@yse@tql@qcuAlc^yvQbpOewj@||`@aw|@hzScmWzzJsz@h`Jqgt@pi^_}Kplb@imZpwYamHvdPi_a@xh[sdPlg[_}C|~e@vgA|sf@w{DhuCwwMtaLelz@liM_kj@zbDoum@vgAwnQ~cKga@ruK{bJflJsuHxxOgx@xeF{vKp{PotUf}M}sK{e@kdrAwbQscnAud]_}^mvXmdUsfMoiHm~G}{PejP_sQgjBi_VggBoru@{oBqiZupJedoAodBccv@r`Bqx[d~@}|dByxCgox@qWc}bAc_L_al@glBy|r@vHsqXjtJqzKjyJsyFjqIwj[~hNu_]"
"High Prairie, AB T0G, Canada",55.4337549,-116.4877008,"Brights Grove, Sarnia, ON N0N, Canada",43.0335671,-82.25241,"1 day 10 hours",120843,"3,549 km",3549046,"}{iqIbo~eUbtJa~lB|hJeroAMajj@qbIevb@bvFgzf@foSiv}@zBe}\vyJqg`@|mUo{f@xoCikIjiBon~@hmOabNlaT_qJjdLgbGvsCijd@tU_dFl@ccFr{RyeIpdDsyH`Zi`b@|sn@}oAniBsbPzyAexHdkJIfwELtiVCv~BcAnbB_nCh|@d_@`zl@a_@dsNu~F|_Yu|eAfvKui_@dvJknV~_Eq{k@hdOexdA|nJucWw{B_gW_fBmvaBoOick@lvG}iy@vfGoi}@vp]sldAbtHqsrA`nOkedAznOeq{@dyVe_Tb_^kp`Bp{f@{ixBnmHajs@ty_@czv@|}KalLldoA}mZf|^muYhdMgtN~fg@kgs@|ln@sld@had@gkp@d|Twc}@lpJyoV|Gohf@heIqjY~uScgZvfKm_JpmtB}}mFtfRiae@zrJasUrhTul@pyQgq@fa[wdClg[InlB{hHryEozKzdGkuRdwPimh@loMk_Cx_EszACu|HNy`QvVq{[h~NmTbIe|Zv~W}xBrkQs_M~dUyyh@baQicf@dsMifM`nQiqr@pvMmwS`lOygk@lfX}a_BdsVysnAns^c}jA`{WtQlfB}Tl`Fce@TgrO`AaoZwAgpSh@wbSrzAktK~`Fg}Dn|`Akgr@`mUczQ`kJv_CbVwkt@ygDkqzCzoGwiYn@ar|@|nDgx`AfU{or@phRe_UnpSas[v_]icP`j]ca_@tuRk`NlrOmbUdhImtFfyOu}\`cS}fi@tuFetPjeEgrh@tzNawj@xgLin[haK_hx@pzAyoVpkHy_RxaNqre@`|K{bNxs_@y}iApd`@gp|@|xFw}z@jdA}eRrhN|AobB{rv@tbEa_dBxjDmx~@lmJc`i@p{MykSvnF}j[btSqhPv{_@_nc@fpf@ut_Ad}Wkjk@z{RekClaIaxRpjOemo@ftSw_VrwVw}k@n_M_DbhD{pMnkMcsn@doe@ieNvm]ypVp_N_vBboIm`KlfEqnRbgLybEds^elNnda@evCry[tZrca@{mDnuVg{cB~sJ_u`@zk@_~j@xxQ_hBvnHi_PbbP}dCrgMe~G`yEayKnwO_}Qh|H}yDvPojJnr@}xb@y}D_qp@i~Ioxi@esA}eTclHg_Ioq\axf@i|[orLmrVyn`@anIg_m@ouAk}n@ipJmheA{bEy~wAfKwgLujIu}AeqQw~D{uR_iXc{PsjSadJi|HcyTeaFvz@qxr@keYangAgzKu|v@k}EcpdApwFqdlAv\ycrBom@s}Mm~EgsJcVrjC"
"Burdett, AB T0K, Canada",49.8330823,-111.521335,"Roberval, QC, Canada",48.5187203,-72.2219808,"1 day 12 hours",128253,"3,415 km",3415444,"w_doHjotgTc{FqudAsfBsku@uuKkbPoa@a|l@gxBgkQnkCya`@cQivcAy{AuxnAap@kpf@ceK_`fAapHcazA{nUwr`Aa|ZcthBciFu~f@ulEor}@~v@yx\__Hoxc@qcBo{_DreF{{_@rrAadj@|tDyyn@qkBablCkpFy_p@cqMgzqAnzCeciAbuPuz`Avq@}er@nsE{zzA~xa@yyiCjqnAsi}Dx}Amqq@}pGkaZslMmq|@sqAiu}CepHizu@ueDm`m@ncDyjqAea@arx@vcL_teAzkB}lo@lq@itN~~PamCmlJwwcApe_@gqnA`c@{{~ArqCqdwAkyEirh@_oLeyi@l~@wfg@toAqz^aeDau[_zFy~MuaCis_@hk@gbJv`JicE_lCab^euDofSawHoik@xiAgcu@_mDu|a@p_Goch@?axx@xsDuaHnbDml^~mKayR`_Di|K~mJqtH~iDa{a@tvFanOn|Jqjj@x|Gkkh@|fSapw@`yLayy@f`Fs~o@zsKecKrfOwf]viE_jJoUgf]fkOmy\t`Fiqg@ppUske@jvIavFzpJliAh|Odn@dtEebO`qKsv{@v_Jazl@gjGkmc@ifKioj@egSu`h@suSqvPygNu{FegI}a[mmPi}G_wD_tOcjOdzD{zVebPo}FiiLceR~nAs|Hmq@krKq}EkjZud^o`JiziAinAizs@fgBumx@weByg`@{bQ{_n@hKm`qA}`@u|aBnzC{_j@~y@e|vAsv@{xvAr|Duls@b_AgbiAhaNoywAhnc@yybD|pSehiAjoHqkd@pnEi}jAhxQial@voQkrL`qCin[eAkfZzwQgZpsVu{c@neQe~HlxF@fwM{iTtwQ{q_@_Ze~HjQwiUpm@wmZzpBqef@a{@_|b@`BotwAbWmaMaw@m|Mg}GysD_pB__g@oxLuHqAwfWdAqkg@nxA_aMb|Cghs@dfAy{R`iFc`N``DotZY_k`AqsJycCu{Hx@cnBwlENk{KwkJ_oHkmJmwHumJ_C?stOgrOaqCs@miY_yAovQg~@urEauHyVi{He}JyyKwlB__NguPq`Re~ByhIk|HgxGw}cAkjOoqm@i}Umjg@ulJmpDeqOigS{bImgGy~Bm|YhNs`|@pvAim{Aru@ksm@{aAubc@c{@anMvcErUtdFeuGxn[ehTzqOm}Q|iSqfKlrFurPfwO}ui@lwComSvnPg}J~nO{i\brHicZbbQk{ZrmFo}SpwD_a^|yMoxi@`cRoiR~rD_cRjxFs`Pwx@qeGhpQedVlmDeuJ"
"Glenwood, AB T0K, Canada",49.3653908,-113.5164252,"Clearwater, BC V0E, Canada",51.6511258,-120.0379356,"10 hours 2 mins",36127,"893 km",892533,"uthlHtdzsTxIgiBut@JsfBCkzDCctLkBuc@mpFmhCob@qlW~KczKkGo\kdBoSxh@gbGbnIslExwCm|SxTskVnvHopIp~CooPdlGskEh{@orJ|PidG`vIoaFbkDcyGxtJu`EdiDuk]`@gvHhn@iiGbD}qAjkCs~D`oC_eD`B}~FnbHchIjaJioG_aCk}Fl_AudGzk@sr@nfGcuBjsAelBynAuk@|bNirAfyJqbG|DyyApk@i}ArgBe`@jqEkC~vu@cU`wLizI~b^ibBzcE`Y`uDb~BzzTv}CnpQ`tCjtIbfChlEoLxuEzxAzmCx[dkMlu@diK}gBxjF_vGr_GcsEdpHwoEnkJ}xApxBosB~lEgb@riB|iAxrAxeBrtJrcAfmHrkAvtDyiCv|IauEt|G_uAnzFwxBb`I{lCrnL{nIzfQonHlxKehDvqGmoC`}BalBbyCc_@j~FolAzbFxaAxjJhdAxyIjmB|~J`sEvxIr{Ad~AjnFzzEpt@r|BxcE`n@`bCj_Bn`EalBfaC{Is_@`mE_vCtxIsrArvIe`ClcK{t@j{HohBlyF~o@fhIqh@neF{hIttGsfEdpBmkIt|J{eEvqIolApjI}t@zhD`p@x]hhAms@xElx@oqBv|Krx@n~F`f@hzCmaDn_Jqn@dwC|p@`tAt_DvbDt_GgT~wF}gB|gAimAtrA~@hcDcxAx`CbzDpc@xjDdiBnqD|~DgaBplApeFtaAhmMbnBvjIdxBtvFdbA|iFt}D|}Et`EdzMl`Ar_DzvBzmB|wGnfE|aCv`Et~Cb~Tl`CfpIfSnlDgb@hsDyx@zzBz_@xkB`|BneMfwAl`KldCnvIxxAp~Dze@fuDev@xfA}qBbj@}jBrpDpI|qHi}@p{GqnCrhIzxBpwHvsAjnA~mA|bC|vE`wGpuEbwG{H`mEj`C`iI|dEl{F|dAd~In_FfqIaB|qIfaDvpL~vAntBnqFxo@bnAddJ|l@r~Dgx@t_BuiDw|A_kBdl@mnCr}AuqF_pBofF`nA{qCttHibAr_D{C~_NkkAj_Grn@fdBnsAjnGahDxd@ef@`kAcp@jf@qt@bnEyzDl_Es}A`oD}dD~wHwaKmPuuA`gDeu@lsBoj@p@_sCvcG}rBz`EcJfoCp}AjnErEf{Bd`AvaAvVlyEE|bJudCjrCchBrNsh@jbAuWfyB`VxrBek@e]wdBxs@uzDriEkqDz_@q{FzzAuxLuKk|H|{CubCps@_rBa]soCc}BiwB{e@s~BhKmkL}j@kmCqjFkkJcmJgmAspF"
"Silver Valley, AB T0H, Canada",56.042866,-119.5663356,"Burk's Falls, ON P0A, Canada",45.6198906,-79.4087198,"1 day 15 hours",138844,"3,761 km",3761197,"}z`uIrxwxUkBw`w@ttD{tMzzAtiA|eVo{AraG}`C|vActBfeEosBtkA{aENgrs@nzDqtu@faCg``@~tt@gt@l`k@s_Egu@wkN~cDs`_@hsQwtdAduHiyz@lJig^rcIwh@`if@qu@tvLwuOdjf@m`a@pl[icf@p`Jub`@h{FcrgAfmH{eg@h_UudiAtiLwdy@dhPwbd@xr\c}zAv}Pg`fA~uH{lZnxUeq@yEufgApEyooBp]qogA`}CeteCdvJknV~_Eq{k@hdOexdA|nJucWw{B_gW_fBmvaB|eGgneBvfGoi}@vp]sldAbtHqsrA`nOkedAznOeq{@dyVe_Tb_^kp`Bp{f@{ixBnmHajs@ty_@czv@|}KalLh}Nsw[xsHunwAvkMslgB`oR}azBbzC_sv@xdFoiWwyAclbAt~WeejCfcTg_v@r~Sab`@bzUkon@j{Rkvf@fpk@clkA|lNskd@xoKomj@jvKcwm@{Oa{\hy]g`@vaOooRp{Dowq@pyNyatAv_X_d`BjiJmtTr`@cklApB{tbBxdIism@xgH{c\bzSajS`uGazIBonFz}@qyBfy@{qOwhBwz\xnPsm{BpmCulVl`M{bEtlBea]{iIqcf@nyJuga@|oR_k}@lk@gil@lx@mu{At|CyeTyuAgkc@_hQopk@yFedo@btAa~`@s~Aqw\eiIynNy|Bki[~iDucVvkHcfMyhDqzMaoBeyRkdM_~j@j`B}qs@eyCob`@rqFcf]bLwsoAhtDsrF|IqxTfzK{eSrlMup\f`KijVrxCcpTraLm_g@|qEeuf@ngRkct@zkYcjoBxpQmxk@vjMyxLnXgpOdsIikb@`|XysrAfwUy~OfqRtlAziKweJjlHyyt@`eJyen@jyAggRy_GwzRg~Fwlf@qhSufk@elSucUc`LwnGg`KioQc{Ys|\iiEc`DoyFbpByl]_hWqeHgvI{pIdmEywHo|Dy`It|@o}]}z\klLejhAidB}fdBfRs{`@cbJi~h@}cFa_oAnrCotuEfvC_jlDzmMybyC~~v@qwsFbmP{dyApcRkg~@~lBisKboIiq@|sJ}zYs@s~g@r|Row@xhJeeV~gW{aRpnL}|Abo`@cvx@lkW}pa@|bPoqKbjYt_A`tf@k}i@dtZmyYj{Ge}N~oNkMhtIyxQx`L}cIllKxAjrPzqJ~~YzvJ~u[_cJxsSzfJlaJtrCfdH{eIhgOh{@txXx{C~|HqpIvhj@w~s@bm[efEvsOagQ|ad@qw@dbR|rC~k^vbIzw]}g@rLiF"
