"orig_address","orig_lat","orig_lng","dest_address","dest_lat","dest_lng","time_text","time_value","distance_text","distance_value","polyline"
"Onoway, AB T0E, Canada",53.7017507,-114.1982174,"Sainte-Jeanne-d'Arc, QC G0W, Canada",48.8651447,-72.0808681,"1 day 15 hours",140664,"3,706 km",3706482,"}rwfIzi_xT~qXxtCs@stWgFo{pArLm{iBgAyndAtoHs|{BjxG__QuWokU`aLunh@rmQcl{@uuCgc~CtwK}bzA`A}i_@liKq}[njQ}kf@`rHqbjAbma@sckCdcT}dW~aCgvMhsk@axiCrna@adjB|~Jsud@rlRc_]jdG}rGtnLwvHzxC_fVffIovMzsAaxd@np@c|^zcCmhx@naNor|AltImbx@rjGsqk@xoG{lo@myA_se@juDo{xAvfRin|@xlJu}aApoc@ue`At|j@eczAvjq@ohpAf|Yw``BPcsc@vqUchC|cQwgM|mQi{~Ahsh@izbDnvDyz`ACayrAthFukx@xcTsl{@tpS}`MfH}kLzgDclLprBwkqA`tKsv~AroCugJncLcs@x[{zOozHukd@fz@cdXjuWcj{@xzBknu@fqAujxAt_BehaA_xSewlAptCatbAokLuii@sfByv`@liLo}NegMmqw@qhEufm@rsBeqo@_yBoxMjYi~Zb~BwyiA`wDke]rfQufo@xjRctXroVsayAp}Emth@xgUm}}@ddTy}cBtqK}rL`wOyfYhfBqfh@nnPwmc@~_Jagq@feRcxWxhg@}MdmCeoQ`cKmd~@|aKwuk@alIsde@_sK{_i@ajUcpf@krVozQkwMqgK}pKonTiaNikKweC}yH_mQiaAs}[giYsxQzsBs`J}Qg{KkfLecXoe_@otIuvfAwz@_ku@bpAgx|@i{Q}gmA_dAon}Ab{DqehChSelnArqCexgChfD{gvAnuO}b~A`~_@_|nCziTalmAzpGcfb@prJqdtApdIi~Yh`IkgCtmMopRn\kvh@d{AgfGxgV_gIvxU}d^vuKaoEllIwhArp\epj@e[cvVaZe}v@deDgzoA}P{tlAdb@i|L}tDc_HmoD_}ZmuFsvOacHqQNsgO{Hali@vWsiF`wAo`TfjDogr@vbJc_^|pAcoZ}|Bam`AisQ{@ykA}kK{b@alMijIubAsdMguHavGqaQ}rOqgBq`@{ni@a_Hg}H_qI_xHwcHf{@wyKghTifSa}BioNujJseEmg[wkHowr@afUihv@uwGggTa{J_dDgfYysY{qJodKd]s~l@fVi{m@f|FqnxAk_Ai|q@ohDiab@boIc_@v{b@_c`@zeUwtPf{Vkle@zrMywe@p_M{iPh{GmwQpnN_c]noFgqP`|Tw`_@fcH{wp@vaQogf@pjFmrFzgDk|DygHanJ{lAyh@asCz{@}aFitMs{BwsEmnFoaNzvAkn\pzDwvNkjAuuR"
"Halkirk, AB T0C, Canada",52.2830849,-112.1539573,"Crawford Bay, BC V0B, Canada",49.6812105,-116.8246874,"9 hours 3 mins",32579,"821 km",820514,"gpb~HfapkT|j@ie@bjD@zlC?tmf@WtgGGfv@?|Xbk@Gp{AIvnSAvmq@?|_VjUhkLdeBs@veBUnn@`Of~E^zgQAhfP?n}HEnl@~QF|~Db@vnRyCfgDq\dkAxn@f~Aof@lmEnWp_^F|qRFxiEliA~j@pwABzf@`PfgEzJ~_Eqd@|lG?xi@jbAZt}MPhaDYre[@fbCzw@rNtbTt@bl@fm@b~BvjDpoAtjC|hBvoAvrIbFzVr`AbAxtBvx@tcAluBfYxe@`iC|`ClnB|d@pMjjFCriBp`@Ar~L?`~BEpbKg@pnOh`DoH`bMyChjVeAdvDuq@f^duHzVthA~jB_k@xmBuMjjBrv@nsCljAdfAcKbvKsbNtdDyqC||D_C`cCcyBjiA_|CfkEiAtgCel@v`PiGjxCCda@lzEGjjWx@tuV|FxYf_@`Uz`AvjCllEdnB|bAvzH|QvnCfiACzx@oMlgE~EhmB{h@hjCzn@tyDsd@fsCajBhsL_|CxkOqa@ptEam@frGwp@pp@edAhzI{aCbmAgh@boAlaCjiB~SdjA}m@jyAxf@||CqbAnpIbc@liFriBr`HrEhgCjgCfdWzRrrBpsF~gBhkHnn@ftHgMdlEuyCfnCyiDr_LutCnfJhGlgFtStgLpW|qFyDzgGshCn_Bg^ffEmtAbhF}_EbsIsyDnhEqClaDtaBbw@t~DaWvdBnZnz@~mAxuHzdGhsCx~C~xIdzKh~@~eCfhA`Sh`BffBtdDgj@doIa|EzfAeuAbeC}m@piA_Vd~CeCxmBrsA`bAnvC|g@f~H``AxoAjc@`rDubIvtH{wDjmEoAhoAy`@jpEyCz_FyeB|cEkPbbCu`GjgMuvDd~FmWjiEytA`qG}tG|eMosGnoI|s@`eAr~AlzErxAj~ApiEdlHlgCpgCnrCt}F|yBb`DthBmn@~~@oyAvq@u]xTtj@hiAcBnrBceE|bCw@|pCbb@xoFhX|iDrxA`Hpr@tyAb`@tyAzgFh_EpbS`_BjqAboAmk@h~Gd|Dx_Gj~Iha@fvDih@~|CkpFvsE_zCtbIamAthCkK`uFl_AlpKf}@vwE~jBx|HwqAdlAeTtf@_xAhw@eCvrB`HhgAiN|wCqKrz@ce@fQwdAL{RraA_t@hbCquBnpBy_BjqAyvDdsCm~ApcCqzCra@obCloCwoDjxF}~AzjA_|DpPkhDbfBaq@`h@kg@|BkoDv|@iwGfjB{tB_Ga}AfRaaEzeAadEh@ayCwh@{oA_Kar@pr@o_Bpz@i~@re@uQppA{v@nB"
"Trochu, AB T0M, Canada",51.8238185,-113.2327451,"Slocan, BC V0G, Canada",49.7630058,-117.4699201,"8 hours 31 mins",30638,"725 km",724794,"{yh{HtwbrTr`@tn@biCpClJblOEpds@Exwh@FbgZp@b~N~xBqJbiV?xpd@}C`cDg`CtqEeL|zOBhzNeAbhIh@xc@`i@bVvpIeEhuDpn@~vAfpAtwB~JzzGrg@ljE|iBrhDpxCoStyA`i@jAbc]dGvtVoc@rvFhMpyCo~Ilg^m}A~{Dl]r}D`dCfiVnkDfrQh~BnxGlhA~c@b{@zjD}K|sEpxA|mCzU`uGqZnx@nb@v_Cz{@ffEiJh`EugBpgFmxGrbG_rEvnHmjDbcFcd@fgCgqBtkC}zAjzDe^rjBtiA~pAneBhuJpcAhkHdjAlyDeu@raFoaB`cCivE|`HmgApkF_xBfaIefAjnDysEdbQi|IbcNouCzwDafDrqGcuCxzBmgBx{Cu\h_Gex@|zBoKjqB||@v_Jjw@xwDneAveJpz@hhEtmBrwF~}ApqAl~A~`BvkFxvE~z@z|BnhE|i@jwBt}AfnBydAzqA{c@zyAon@bd@`h@e^~_F{}CpmImdDbyQek@|zBjH|kDqsBlsH{e@~rDjd@hyBmSxdFhI`tAob@lUahClvB_rEvrDm|Db~AkfI~dKcmExwIaw@fgDoLv`Den@l~Crr@|SbhAyk@{BthAmjBnqKfaAjvGh]d}BwmD`qJq_@hiCtr@f~AvaDttCx~FeUjlCgb@xkBenApeAgeAfuA}C|`DwrAzdBtbB`[r~Ara@bkDnu@npClv@vVt{DscBlhA~nFxHh}Fv}@tyE~g@nqDbgAhmCvsBtyFbeAl`FhkAn]tuB~pErbBf{G`uA|rDjMblCts@bMzhCp`CfpErlCnsB`w@xkDl{TxtBzdKx_Ar~B|LxwD}]blDez@dxBhd@foBj{@pi@`xAg[ljBfA|iA_HlnAcoAp|Bgz@nxAs|CdpCguCveAcwBbdC_eCx|B_nDb`Cu~BlsIk}DbsJ{eI~lFehG|fBmsAtS|Jv{@wqKxa@tHn`B~UfaA~l@h~B|MtkElbCpyCkThwEtnAddDsP~u@yh@|HmnAj|Abr@dqBuBb|Do|@toDpQjhFieD|nAogAbvAkcCdnB_o@feBsVnx@skC`p@e|@dKogE`mC_mFdhAkkCddCiwA`oB}gAxuAsgFpZs|J~bD}yKfqCqfFpoDgaDfvBuz@fdAyeAbp@__CjbB_cBnb@y\l_A{`@xxCio@~}Cuf@ruBhkBttApWz`Adj@h|@_j@twAjtBfp@bp@dr@aChIpGyOhi@jvAvgAlmCj_Bpl@diBxaAzx@x|C|CbmBkx@`LtgA"
"Calling Lake, AB T0G, Canada",55.2104515,-113.1930038,"Yarker, ON K0H, Canada",44.3715924,-76.7702688,"1 day 12 hours",130416,"3,855 km",3855169,"ih~oIf_{qTndNvsGhnH~fLv|b@da@nt`@eoFxq@q}BzqHupGzgIueCvKkmGlqDmvB|^qh`@vmc@cYp}EocA`sE^@g}YfhPIzcJH`aRChqB{jCblEmDveu@@|}Lygd@vo^kowAtvGkpQ_Us_UdaLyhh@plQsm{@kg@esx@_oB}pfBrwKaqxApAgy^ntK}d\|bQalf@~wIeonAvd`@wqfCreTacWb~BctMptk@g|iCpla@umjBv_Kyfd@nqR_g]l_G}sGtxD{nH~{Xm_Gzoi@anPj}XwrFniJefK~`Qg_WxuVuqTvwRypZfpSgiNfjj@mij@|lPoaWd`Rgwn@jiR}{w@`pAayn@hd^gqd@jiQqzXbdjCc~wGv_m@_uF`gn@eA|gJglLz}FacVt}LgyQrkGai_@nrL`J`_Di}MRqhj@p~OceEle@kdXzsRq\loSwhPhxH{hHfdW_gv@`sYyld@pwPcyo@vfSgr[zfNylv@`qSgf}Avc^sgiA~aQq|u@p|^osB|sEwnBPgkPhA}~WcBc__@hH{aPdof@k{_@dbw@qgm@rzI~_BrgDg}Fmz@epjAeoCqqdAuRi~k@xrGyq\eDutlA`lDknlAvNwzYfgJwyPpbQikTrpXsaYt_W_hOj~c@wd^|q[wwb@bpPs~ShqEc}Tj`T}{f@blG{qa@pjJepn@hlTevy@~kK}_v@f`D_kTd|McdRnvJa`\bwLk|XpsZmmfA`pWqu]ldEkx_@lhFsw}@lnOsm@kCqyWmcAmdt@jgG_n}AvbEesbAhdVce{@pf^iqd@t|b@{m`@hkh@qijAbaLoqWhdSyjE|dTgak@rtVogi@`kUwjh@hlPc}HbuFukGzfCgjX`aHogXvsLozCnaj@ebWdhXi|MnsJ_|EvtDwgTle[muSf`[{jHtyc@yk@h`^wnAfvUe_H`k`@wrwBdyCews@ndSmpGloGw|KfpY_|C|tOq`WppPyxPvuB{tcAceQyxxAcuq@kfy@izXcuO}dWk`d@ahGqixAa}Hu`kAie@gmv@o}Bcm`@q}OsfDkzN_bKikWkiSwwM}jVq{PqzA_yIelOz{Aw|YgpDujb@ybY_hy@adIa{x@atAeseAthH}|{A}`@oyu@ww@myp@sCu}jAxmF{`iApzIaaZ_a@klWq`J}vh@mjGw}]e{Tws_@q|UsnWu{Umub@ygKmpJskDwgZoqIsbm@cwd@idoAyzSggeA}`Lqyj@q{Cqtu@}cVc{tBihEevn@muQibu@mlPyfx@yhHsgfAo}Rke]"
"Wildwood, AB T0E, Canada",53.6098413,-115.235512,"Blezard Valley, ON P0M, Canada",46.608626,-81.0524354,"1 day 8 hours",113590,"3,036 km",3035778,"otefI||i~T~}Ceq~AnrAc|cCi`Aao{B|dAaryCtmDqnpAhwAwyKdkG_tIjzDycl@x~Iksc@~iEmd`@foJojXipDqa|@e~@siiBjpFa}v@jwDgwa@h~Aof\`|KokX`hQmhj@`l@{pv@zdGav[hfNir`AfsPww_AvyVunSdZygMxq[m|nAhrTqgiAvqRs`q@hfG_eo@tfa@_c|@vvDccFh_FiwE|lc@sfL~rh@qdL~bUieK|{IuyL~hNgbPjfUudWz_Qac[|nUyiMn`Wy}ThjRyqW|_QgxWtaUoh{@tuJqoXlYifb@tr@agQ~fGg_Lx{SukZ`lCykElwF}bDrmJkiUtldAcsmC|ya@szdA`yPqhb@puMwu[xiAuhRh@}ng@zdCcgq@xcF}fz@dk@q``@z_Dqly@|sHedAt_N}nGp`LwJ|xXsAlmM}ED}qGXgc\OmuVcZguKpf@_ng@bd[ea@|bEsqCf_Tko@ftKLvi@ycPZ{uXhkAceP`uOfIdwMvElhC~cC~aHqkAvu^cji@zvKodPvRcbEuf@u}iAtbAs~b@ddEokl@n_LsitApfe@wjlAngEankC|wAwzKjrBsx`@|}EgcW~cBor[h@q_{AkJkmMzdVku`@vmAquO~n@uaP|jBeU~dBw~@r^kvIgOsav@`bJavYzpJ}ph@r_Pgni@bkDgmY|Eygf@dwAgr{@f]}kShbIgvIvbKmp_@nvEydkAjnCall@{Hggz@jqUqa`A`gR_ak@fd[ulp@bzTec\drBmus@juBe~b@|uQq`k@_tDimIh{Dk|CbiWum`@xjDmzZfG}dTtcEurQ}kBmkVxsBms\pzB}v`@wyGg`_@yfDgiSudAi~_@doKacSf_Iyrf@~u@g|YzwCckUakBwgOdWmmQg}E{zMmhNucdAv_Jeqm@z^uq`@ryHg}Dmh@q}Xg`Colm@gtFq|a@gmEqtXzmE{~m@v`Dgtc@riDqv[cfAsh`@i{Gwej@x|Fy_M~tBkmI|Hs}PeMuun@dgHmnQdNc|j@fpHgtArqGyga@t_@q`pBtUicd@bqDmaHOeiVpl@g`e@esDknj@ydDqd{@ybBu`eAsZe~FibKycD}cJmeCgdAexFy|FcdQ`fCixXjfDolJrjHxvBp{Nrl@zvEw~EeYyd[p`GgxPxoAmjd@jiCwvJ_}AwlVahAgeZnbPgir@fiC}wMu]}tYsgCq||@bHiijAkbKesj@_wI}{r@mIquOo~EgjTmfFe{]wlBwiOutOv{BglLe_CoaCgyE{iBodJrAmiF"
"Hines Creek, AB T0H, Canada",56.24739,-118.6015103,"Cottam, Kingsville, ON N0R, Canada",42.1307467,-82.7448302,"1 day 11 hours",125606,"3,686 km",3685675,"eyhvIlj{rUftNa_S~d]tAd`NnbI`{BxyLbwZziLbfCczVn_B}~Fdf@adE@otSf_JuIb_ZjQ`jM{Rv_l@ibDj}@ekU`s@kxw@zkYifaA`dAiq~@tbXg`Alxa@adGj_Oq{Yr{q@uzh@tbSmlcAjfDewdA|vM}i\ptFkru@j_NgwYf{Iigz@veYmex@hfEmla@nzUs`rAdbFkuUpsBy~MrdUrBx_C}hNg@u~c@cmAcwhApm@cne@xT{~rE`|FkhYdeHqq_@flQiipA~oJe{[dw@_aVkhBsjvAid@c_}AxuK{oi@j@k~`@pxXe|}@jmHk|kA|lNghw@v|OeglAt}GytXjtMq{Jb{I_xNjyJard@tlm@ozoCdgQ}mr@hQyoXroU_qi@fgOu{RlfBcmJz~w@{hSndo@yrRxxRelZdtf@_oj@btl@}hg@n}d@ebk@jbh@cibBjnAojt@jcSqj[r}O_uVvv\_cs@fedAmnkCnrc@ifhAbxOcy_@`|LwkA~jYwl@dwz@{sC`wGcc_@laMeqOx{Ik{d@z{LqLt_EixKNy`QvVq{[h~NmTbIe|Z~cOck@dmT_pQ|tHo|AtnJ_hRprUmvr@lrT}wa@nlWq{q@rpQm{i@pxQghgAjcWktsAx{]_otAxqGymO`{WtQlfB}TbaFkxPUi`o@M{bZbgEauGhy{@ejn@bsP_kMvzRqdGpgEuqA_KcnSqwA_ydB_oAcrdA|jGi{YxCi`t@uGwhlAfyDmvt@x}`@kms@z`~@m`q@x_OgkHn~O}oWnaZ{tXfmg@qjbB`XiqU~kFsxW`~Nyo_@frMeq{@nwGaon@jjMmoOnqC_xXz|LqgM~zLmv_@p}a@u`kAt`PyvT~hCcwg@rxDitVEkrQjzGsyDl`GawG}wAwd_@nxByxu@z|CiyyAdbIc~|@tfOgn[zsDok\jr`@ebc@lmd@gue@zvl@ytuAbe^axQthOirj@bqa@ar}@`aTyjVl_Jq{@rlJaft@n}^spKzva@}wZ~oZo_J~sOul_@|zZqaPbx\gtChie@vhAp}e@m{DfeC__OfuLw{z@p~N}xm@rzAgtl@lkA{lMfqKka@zhKagK`zJioGn}Pmz@|xDcpLbfQ_dUxhMkxKin@olrAu~PgwmAmy]s~_@egYcsT_bWgwZ{rNg_QeaBohVscB{|u@inByrZkqJagnAb~Bav`@iiF_lT|hBun[|aAmrfBc_Dywv@sSegcAyhLc_l@mfBwes@jOk}W|`KkwKbrJ}}F~lJ_e]fbMs{Z"
"High Prairie, AB T0G, Canada",55.4337549,-116.4877008,"Brights Grove, Sarnia, ON N0N, Canada",43.0335671,-82.25241,"1 day 10 hours",120911,"3,549 km",3548660,"}{iqIbo~eUbtJa~lB|hJeroAMajj@qbIevb@bvFgzf@foSiv}@zBe}\vyJqg`@|mUo{f@xoCikIjiBon~@hmOabNlaT_qJjdLgbGvsCijd@tU_dFl@ccFr{RyeIpdDsyH`Zi`b@|sn@}oAniBsbPzyAexHdkJIfwELtiVCv~BcAnbB_nCh|@d_@`zl@a_@dsNu~F|_Yu|eAfvKui_@dvJknV~_Eq{k@hdOexdA|nJucWw{B_gW_fBmvaBoOick@lvG}iy@vfGoi}@vp]sldAlgBq|v@tkE_vZ`nOkedAznOeq{@dyVe_Tb_^kp`Bp{f@{ixBnmHajs@ty_@czv@|}KalLldoA}mZf|^muYhdMgtN~fg@kgs@|ln@sld@had@gkp@d|Twc}@lpJyoV|Gohf@heIqjY~uScgZvfKm_JpmtB}}mFtfRiae@zrJasUrhTul@pyQgq@fa[wdClg[InlB{hHryEozKjxG}eS|ePkyh@t`RubBlkAuxz@d{Nu\dIgb[biYyyCffPufKx`Vmgn@lbPqla@`wMw}LlgQwpr@||Mm|S|~Pujm@xmVuq}AnzWo~qAjz]ivfAfsWpP`uDoQzgCae\Rw_h@D{rOvzAglKhoGinEnx_Aelq@lfVaqQn{I~`CvAifv@}_DenyCphGqlZxFwc|@sLcsRhtDavn@x]eap@|fR}sTbjTwt\ff\qhObk^ay^diRu_Oh`OirThjIghFj{O_w]|`Tkhj@`qFoaPvzCivp@`a]{k_AlqJ_pw@pqAwjWnvJsbS|dLc`c@buKqkNbb`@u`kA`fTccb@jjJibXpwFqb}@xdB_zO|eM~CseBynw@xtE_~eB~|Cas~@xxJyqg@hyMqwR~tFwg[~pSapPx~_@yfc@tgg@kdaA~eXefi@p{Qa|ClsJsyWtfNiuk@xaSm}TxzV}ok@t`MsIvcDomNnpMsom@ndf@geOv|\cvU|`OkgBvkHkwLtcFgvR`|Kw_Dvk^csM|u`@}yCxi]n]zg_@gyDxrAul^xmT{`eApeJwrb@xq@uni@nxQmy@lpH{oPfcPawBbiMkpHduEghKpsOekRraIonDnIu~Lzu@gk`@{bEirp@w_Jyyi@muAe_TgzHmxHkf\oxf@}}[itLygWwza@snH{|l@ayAazm@ytJkkeAizDe_xAlH_yKosJc_BuyPoeEqgF{lM_lL_tIczOmgTozIk~GkuTmjFxz@a{r@khYelgA{`Lo_w@emEoudA`oGi~oAvBsinBco@cwMe}EyhJ_VbjC"
"Burdett, AB T0K, Canada",49.8330823,-111.521335,"Roberval, QC, Canada",48.5187203,-72.2219808,"1 day 12 hours",128800,"3,415 km",3415444,"w_doHjotgTc{FqudAsfBsku@uuKkbPoa@a|l@gxBgkQnkCya`@cQivcAy{AuxnAap@kpf@ceK_`fAapHcazA{nUwr`Aa|ZcthBciFu~f@ulEor}@~v@yx\__Hoxc@qcBo{_DreF{{_@rrAadj@|tDyyn@qkBablCkpFy_p@cqMgzqAnzCeciAbuPuz`Avq@}er@nsE{zzA~xa@yyiCjqnAsi}Dx}Amqq@}pGkaZslMmq|@sqAiu}CepHizu@ueDm`m@ncDyjqAea@arx@vcL_teAzkB}lo@lq@itN~~PamCmlJwwcApe_@gqnA`c@{{~ArqCqdwAkyEirh@_oLeyi@l~@wfg@toAqz^aeDau[_zFy~MuaCis_@hk@gbJv`JicE_lCab^euDofSawHoik@xiAgcu@_mDu|a@p_Goch@?axx@xsDuaHnbDml^~mKayR`_Di|K~mJqtH~iDa{a@tvFanOn|Jqjj@x|Gkkh@|fSapw@`yLayy@f`Fs~o@zsKecKrfOwf]viE_jJoUgf]fkOmy\t`Fiqg@ppUske@jvIavFzpJliAh|Odn@dtEebO`qKsv{@v_Jazl@gjGkmc@ifKioj@egSu`h@suSqvPygNu{FegI}a[mmPi}G_wD_tOcjOdzD{zVebPo}FiiLceR~nAs|Hmq@krKq}EkjZud^o`JiziAinAizs@fgBumx@weByg`@{bQ{_n@hKm`qA}`@u|aBnzC{_j@~y@e|vAsv@{xvAr|Duls@b_AgbiAhaNoywAhnc@yybD|pSehiAjoHqkd@pnEi}jAhxQial@voQkrL`qCin[eAkfZzwQgZpsVu{c@neQe~HlxF@fwM{iTtwQ{q_@_Ze~HjQwiUpm@wmZzpBqef@a{@_|b@`BotwAbWmaMaw@m|Mg}GysD_pB__g@oxLuHqAwfWdAqkg@nxA_aMb|Cghs@dfAy{R`iFc`N``DotZY_k`AqsJycCu{Hx@cnBwlENk{KwkJ_oHkmJmwHumJ_C?stOgrOaqCs@miY_yAovQg~@urEauHyVi{He}JyyKwlB__NguPq`Re~ByhIk|HgxGw}cAkjOoqm@i}Umjg@ulJmpDeqOigS{bImgGy~Bm|YhNs`|@pvAim{Aru@ksm@{aAubc@c{@anMvcErUtdFeuGxn[ehTzqOm}Q|iSqfKlrFurPfwO}ui@lwComSvnPg}J~nO{i\brHicZbbQk{ZrmFo}SpwD_a^|yMoxi@`cRoiR~rD_cRjxFs`Pwx@qeGhpQedVlmDeuJ"
"Glenwood, AB T0K, Canada",49.3653908,-113.5164252,"Clearwater, BC V0E, Canada",51.6511258,-120.0379356,"10 hours 5 mins",36307,"893 km",892534,"uthlHtdzsTxIgiBut@JsfBCkzDCctLkBuc@mpFmhCob@qlW~KczKkGo\kdBoSxh@gbGbnIslExwCm|SxTskVnvHopIp~CooPdlGc_QfmAidG`vIoaFbkDcyGxtJu`EdiDuk]`@gvHhn@iiGbD}qAjkCs~D`oC_eD`B}~FnbHchIjaJioG_aCk}Fl_AudGzk@sr@nfGcuBjsAelBynAuk@|bNirAfyJqbG|DyyApk@i}ArgBe`@jqEkC~vu@cU`wLizI~b^ibBzcE`Y`uDb~BzzTv}CnpQ`tCjtIbfChlEoLxuEzxAzmCx[dkMlu@diK}gBxjF_vGr_GcsEdpHwoEnkJmmEpfIgb@riB|iAxrAxeBrtJrcAfmHrkAvtDyiCv|IauEt|G_uAnzFwxBb`I{lCrnL{nIzfQonHlxKehDvqGmoC`}BalBbyCc_@j~FolAzbFtbAtlJldAfyIdqBlgKxoEfqIr{Ab~AbnF~yEtu@b|BpcEhm@faCp~At`EckBf`C}Hq_@hpEmxC~xI}pAxtIq`CtbKqt@rzHghBxxF|o@diIsi@|cFavI~cHy{D|aBgiIx}JugErtIujA~hIqs@lgDfq@pZvgAmq@lC|{@cpBn{Kxz@vbG~c@btCajD`mJke@rjCtr@z{Ah~CbyCdaGiSbxFwkBzfAojA|tAk@r`DguAlaCh}D~a@xgDliBhqDn_EibBnkAnhFtcAhpMjnBtgIrvBjwF`cApgFn_EvcFb~DvvMfaAn}Cd_CnvBdoGj~DbcCpcEz_DjkUj}Bv_I`RrnDsa@lsDcy@~xBz`@`lBr}BzgMdvAj~JfdCnvInxAx~Dpe@|uDex@vcA}pBpk@akBjqDfKhrHi_Al{GgmCxjIv{BhyHnqAjjA~mAhcCnxEbwGrsElwGeGtrEp`C|aIbcEv{FtfAdbJ~~ExnImAzpIv_DhpLfwAxtBtqFxn@pmApfJll@rbEmy@dxAyjDo|AoiBtl@{nC`~AiqF{pBcyBp@{nBfuAuoC|mH{`An_DkElcNqiAf~F~n@nbBfqArmGyzD`rAyWdb@{j@ba@iu@zmEocEngE{sAxgDkfDfvHoaKmO_vA~jDmt@zoBoj@fBmrCxaGusB|`EcHlpC~}AbpEdDtzBv`Ah`A~UvyE}@|jJyjCdoCy`BxHqi@|cAkWnzB`WrnBul@}[ufBbv@mxDxfEupDl_@c|Fl{AkzLyKezHl|CybCvs@sqBw^erCg}BcwBcd@g`CrHmbFwt@_fEzGmlCyiFcjJamJulAqnF"
"Silver Valley, AB T0H, Canada",56.042866,-119.5663356,"Burk's Falls, ON P0A, Canada",45.6198906,-79.4087198,"1 day 15 hours",138999,"3,761 km",3761196,"}z`uIrxwxUkBw`w@ttD{tMzzAtiA|eVo{AraG}`C|vActBfeEosBtkA{aENgrs@nzDqtu@faCg``@~tt@gt@l`k@s_Egu@wkN~cDs`_@hsQwtdAduHiyz@lJig^rcIwh@`if@qu@tvLwuOdjf@m`a@pl[icf@p`Jub`@h{FcrgAfmH{eg@h_UudiAtiLwdy@dhPwbd@xr\c}zAv}Pg`fA~uH{lZnxUeq@yEufgApEyooBp]qogA`}CeteCdvJknV~_Eq{k@hdOexdA|nJucWw{B_gW_fBmvaB|eGgneBvfGoi}@vp]sldAbtHqsrA`nOkedAznOeq{@dyVe_Tb_^kp`Bp{f@{ixBnmHajs@ty_@czv@|}KalLndOe_\|lHwaxAflMytfBhpReezBlgE_uw@`uDggVkyA}afAx~WmajCdci@gksA`vi@_fvAlsk@{okAdkNyld@doK}jj@~tKkwm@oKez\lz]m_@tfOgwRvqD}pq@fzN{dtAhaXkg`BniJkjTd^etlAhCmpbBl~I{{o@vmGqzYjyUugSnuEc`JBcnFj~@gtB|r@i`PybBiq\vpPcs{BdkCqfVvaMq~DbkBeb]ojIodf@xxLeye@zqPivz@jk@_ek@rx@e}zA|{C_gTguA_|c@{iQg`k@eDkeo@|pAaha@}~A{s\egIueN{yBov[tjDotUbiH_iM}iDezMmoB{vRycMw~j@h_Bqss@}zCgh`@`vF{_]fKuroA|_Eyk\dzKefSznMgw\t}JaeV|xCuoTfjL{qg@lhEejf@|hRu}s@bmYmjoBtqQ_{k@biMitLnWyqOtsIeib@lzY_xsAb`UwwN~oR`lAxoIyk@dr@izHf}EoxXbnAya[peJ_dn@dkAe|RurFkfRw_G_of@eiSqjk@kkSs}TwcLqpGe|JyrQmjM_mRinKeiIkjEi~CezFdpBcp]knWidHqoI}mIrlEgxHk}DyaIp{@q}]ux\{hLkphAueBwadBhRsaa@gdJg_i@saFuynAfrCquuEpvCwilD`oMudyC|}v@_usFhnPqgyAvbRse~@vmBkpKlpIau@~pJebZs@atg@p`Sa}@`fJ_bVnhW_`RbpLs{Alm`@yay@pkWyfa@~gP_pKhoYp|@jjf@a}i@vrZiwYt{Gy|N|pNiOpvIi`RvdLizHndK|AfuP`sJ`_ZrtJxs[_aJ`tSveJthJloCv}G{eI~jOlbAjuXhvCnaIyxI`cj@kus@~l[weEptOqfQ~dd@sx@f`RxsCvn^`cIxt]yi@zI{D"
