"Date","current.temperature.C.","forcast.temperature.in.1h..C.","forcast.temperature.in.2h..C.","forcast.temperature.in.3h..C.","forcast.temperature.in.4h..C.","forcast.temperature.in.5h..C.","forcast.temperature.in.6h..C.","forcast.temperature.in.7h..C.","forcast.temperature.in.8h..C.","forcast.temperature.in.9h..C.","forcast.temperature.in.10h..C.","forcast.temperature.in.11h..C.","forcast.temperature.in.12h..C.","forcast.temperature.in.13h..C.","forcast.temperature.in.14h..C.","forcast.temperature.in.15h..C.","forcast.temperature.in.16h..C.","forcast.temperature.in.17h..C.","forcast.temperature.in.18h..C.","forcast.temperature.in.19h..C.","forcast.temperature.in.20h..C.","forcast.temperature.in.21h..C.","forcast.temperature.in.22h..C.","forcast.temperature.in.23h..C.","forcast.temperature.in.24h..C."
"2017-03-25 16:26",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 17:26",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 18:26",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 19:26",2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 20:26",0,-8,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 21:26",-2,-2,-8,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 22:26",-5,-3,-3,-7,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-25 23:26",-3,-4,-4,-4,-6,-4,-4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 0:26",-3,-5,-5,-5,-5,-6,-5,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 1:26",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 2:26",-5,-6,-6,-6,-6,-6,-6,-3,-6,-6,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 3:26",-5,-7,-7,-7,-7,-7,-7,-7,-2,-7,-7,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 4:26",-6,-8,-8,-8,-8,-8,-8,-8,-8,0,-8,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 5:26",-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 6:26",-7,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-8,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 7:26",-7,-7,-7,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-8,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 8:26",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,-7,-7,-7,NA,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 9:26",-5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0,-6,-6,-6,NA,NA,NA,NA,NA,NA,NA
"2017-03-26 10:26",-4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0,-6,-6,-6,NA,NA,NA,NA,NA,NA
"2017-03-26 11:26",-2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,NA,NA,NA,NA,NA
"2017-03-26 12:26",-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-5,NA,NA,NA,NA
"2017-03-26 13:26",-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-5,-3,NA,NA,NA
"2017-03-26 14:26",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-2,NA,NA
"2017-03-26 15:26",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,-2,0,NA
"2017-03-26 16:26",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,0,0,0
"2017-03-26 17:26",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,0,0,0
"2017-03-26 18:26",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-2,0,0,0
