Date,current temp(C),forcast temp in 1h(C),forcast temp in 2h(C),forcast temp in 3h(C),forcast temp in 4h(C),forcast temp in 5h(C),forcast temp in 6h(C),forcast temp in 7h(C),forcast temp in 8h(C),forcast temp in 9h(C),forcast temp in 10h(C),forcast temp in 11h(C),forcast temp in 12h(C),forcast temp in 13h(C),forcast temp in 14h(C),forcast temp in 15h(C),forcast temp in 16h(C),forcast temp in 17h(C),forcast temp in 18h(C),forcast temp in 19h(C),forcast temp in 20h(C),forcast temp in 21h(C),forcast temp in 22h(C),forcast temp in 23h(C),forcast temp in 24h(C)
3/24/2017 13:07,-1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2
3/24/2017 13:27,-1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2
3/24/2017 13:34,-1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2
3/24/2017 13:40,-1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2
3/24/2017 13:43,-1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2
3/24/2017 14:03,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:04,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:05,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:06,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:07,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:08,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:09,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:10,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:11,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:12,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:13,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:14,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:15,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:16,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:17,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:18,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:19,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:20,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:21,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
3/24/2017 14:22,-1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,-1,-1,-2,-2,-1,0,1,2,2,3
