Date,current temperature(C),forcast temperature in 1h (C),forcast temperature in 2h (C),forcast temperature in 3h (C),forcast temperature in 4h (C),forcast temperature in 5h (C),forcast temperature in 6h (C),forcast temperature in 7h (C),forcast temperature in 8h (C),forcast temperature in 9h (C),forcast temperature in 10h (C),forcast temperature in 11h (C),forcast temperature in 12h (C),forcast temperature in 13h (C),forcast temperature in 14h (C),forcast temperature in 15h (C),forcast temperature in 16h (C),forcast temperature in 17h (C),forcast temperature in 18h (C),forcast temperature in 19h (C),forcast temperature in 20h (C),forcast temperature in 21h (C),forcast temperature in 22h (C),forcast temperature in 23h (C),forcast temperature in 24h (C)
3/27/2017 10:55,0,0,1,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4
3/27/2017 11:25,1,1,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4
3/27/2017 11:55,1,1,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4
3/27/2017 12:25,1,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5
3/27/2017 12:55,1,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5
3/27/2017 13:25,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5
3/27/2017 13:55,1,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5
3/27/2017 14:25,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5,6
3/27/2017 14:55,2,3,4,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,5,5,6
3/27/2017 15:25,2,4,5,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6
3/27/2017 15:55,2,4,5,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6
3/27/2017 16:25,2,5,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6
3/27/2017 16:55,2,5,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6
3/27/2017 17:25,2,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6
3/27/2017 17:55,2,5,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6
3/27/2017 18:25,2,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5
3/27/2017 18:55,2,5,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5
3/27/2017 19:25,2,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5
3/27/2017 19:55,2,5,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5
3/27/2017 20:25,2,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5,4
3/27/2017 20:55,2,5,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5,4
3/27/2017 21:25,1,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5,4,3
3/27/2017 21:55,1,4,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5,4,3
3/27/2017 22:25,1,4,4,3,3,3,2,2,2,3,3,3,4,4,5,5,6,6,6,6,5,5,4,3,3
