Date,current temperature(C),forcast temperature in 1h (C),forcast temperature in 2h (C),forcast temperature in 3h (C),forcast temperature in 4h (C),forcast temperature in 5h (C),forcast temperature in 6h (C),forcast temperature in 7h (C),forcast temperature in 8h (C),forcast temperature in 9h (C),forcast temperature in 10h (C),forcast temperature in 11h (C),forcast temperature in 12h (C),forcast temperature in 13h (C),forcast temperature in 14h (C),forcast temperature in 15h (C),forcast temperature in 16h (C),forcast temperature in 17h (C),forcast temperature in 18h (C),forcast temperature in 19h (C),forcast temperature in 20h (C),forcast temperature in 21h (C),forcast temperature in 22h (C),forcast temperature in 23h (C),forcast temperature in 24h (C)
2017-03-25 16:26,2,2,1,0,-1,-2,-3,-4,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-5,-3,-2,0,0
2017-03-25 17:26,2,1,0,-1,-2,-3,-4,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-5,-3,-2,0,0
2017-03-25 18:26,3,0,-1,-2,-3,-4,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,-3,-2,0,0,0
2017-03-25 19:26,2,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,-3,-2,0,0,0
2017-03-25 20:26,0,-2,-3,-4,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,-3,-2,0,0,0
2017-03-25 21:26,-2,-3,-4,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,-3,-2,0,0,0
2017-03-25 22:26,-5,-4,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,-3,-2,0,0,0
2017-03-25 23:26,-3,-5,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,-2,0,0,0,0
2017-03-26 0:26,-3,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 1:26,-5,-6,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,1,1,2
2017-03-26 2:26,-5,-7,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 3:26,-5,-8,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 4:26,-6,-9,-8,-8,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 5:26,-6,-8,-7,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 6:26,-7,-7,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 7:26,-7,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-26 8:26,-7,-6,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-03-26 9:26,-5,-6,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2017-03-26 10:26,-4,-5,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1
2017-03-26 11:26,-2,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,1,2
2017-03-26 12:26,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,1,1,2,2
2017-03-26 13:26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,1,1,2,2,3
2017-03-26 14:26,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,1,2,2,3,3
2017-03-26 15:26,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,2,2,3,3,3
2017-03-26 16:26,-1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,4,2,3,3,3,4
2017-03-26 17:26,-1,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,4,4,3,3,3,4,4
2017-03-26 18:26,-1,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,4,4,5,3,3,4,4,4
